Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74
A0A0B4J1V0,Immunoglobulin heavy variable 3-15,IGHV3-15,0.4906452095,0.423808349,0.5330326623,0.4572207929,0.4877023306,0.3708338443,0.485549184,0.5570596954,0.3952666769,0.3122303732,0.4572229628,0.4325483203,0.4917916026,0.3879480166,0.5003053985,0.4628701425,0.3664717733,0.5984595912,0.4437613545,0.5610912867,0.4178556521,0.3857622471,0.5580127881,0.3906169566,0.3946449285,0.4313223864,0.3989187789,0.386382029,0.4416076559,0.3826628249,0.3640041734,0.5941673643,0.4506787035,0.4080092297,0.3962711016,0.4745306771,0.4344863932,0.4725144365,0.4595643686,0.5183657342,0.5197565817,0.4429005765,0.4421400892,0.4188640245,0.4894151392,0.3633374671,0.4366401014,0.3345957942,0.4329063647,0.4597235861,0.4159238579,0.4174405457,0.3039814849,0.3999566508,0.4916661544,0.466265775,0.3673293134,0.4459192669,0.5432440774,0.558239951,0.4088072158,0.4368986602,0.4738952312,0.508986617,0.4985778074,0.4273496964,0.4476075427,0.4641028808,0.3665425667,0.5043068569,0.6183995476,0.3863357149,0.4610224157,0.4520886056
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,0.4841471966,0.3875481547,0.5556966076,0.4589635057,0.4632159282,0.3701577802,0.5131230168,0.5767178596,0.3088528078,0.3570298302,0.5251290192,0.4509191572,0.4899571432,0.4180105022,0.481894147,0.4174033329,0.4322136788,0.562480439,0.3804616202,0.5667714453,0.3557172692,0.3553496043,0.610369846,0.371455118,0.4041374238,0.4542228523,0.3504005035,0.3491386981,0.3723378664,0.3204887041,0.4490596759,0.5283695156,0.3710384944,0.3906500478,0.3699336687,0.4575005085,0.4260935022,0.4659890114,0.449809178,0.5307109892,0.4907206819,0.4106918546,0.4584823271,0.4056878957,0.5177353061,0.4162176101,0.4099751724,0.3584268823,0.4228504291,0.4865243381,0.4136715543,0.3798147144,0.3227256149,0.318399144,0.545581279,0.4865821799,0.351098877,0.485744186,0.4910952634,0.5289699039,0.480141534,0.4520886056,0.5264203897,0.5376104364,0.5009744104,0.3414711011,0.4834662502,0.4796663227,0.3927439476,0.5138353592,0.5729672977,0.3437731772,0.5182675455,0.4532504593
O00187,"Mannan-binding lectin serine protease 2, EC 3.4.21.104 (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2, MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain ]",MASP2,0.4626793553,0.5003369979,0.4406577503,0.438493412,0.4366356259,0.4272552203,0.4018225317,0.4880851849,0.433091492,0.4394225688,0.4177557025,0.4295182633,0.4538716772,0.4484483634,0.4174196751,0.4179022777,0.4258965147,0.4792983187,0.3897815394,0.488176796,0.4342947626,0.4798087912,0.5016473552,0.4483623127,0.4525202152,0.4799164732,0.4175390204,0.4970901275,0.4771797361,0.4596902236,0.450918886,0.4251312129,0.5264376812,0.4476683538,0.4865135564,0.4160917551,0.4374313584,0.4806156604,0.460106237,0.4428372421,0.4661942717,0.4376797617,0.4537396237,0.4381864368,0.423825685,0.5010184189,0.3637119554,0.4506115718,0.3973334995,0.3603036551,0.4553080809,0.4588081242,0.4844277259,0.4110905086,0.5401518133,0.4576171414,0.3693186335,0.4623540652,0.4577474719,0.4755472822,0.451656996,0.491523686,0.5319124438,0.437175121,0.5060714044,0.4940005758,0.4246334209,0.3826573704,0.4275047457,0.435698494,0.4283421442,0.4156168828,0.4823296917,0.4644358027
O00391,"Sulfhydryl oxidase 1, hQSOX, EC 1.8.3.2 (Quiescin Q6)",QSOX1,0.4583563364,0.4108394766,0.4028815857,0.470631137,0.3533197847,0.3197127562,0.3398195926,0.6031135157,0.4496942404,0.3939515094,0.2897986173,0.4012876477,0.4234542079,0.4222842848,0.4898479693,0.4217981751,0.4427379685,0.4115184564,0.3192653469,0.4021634117,0.4769763066,0.4364868289,0.4554288502,0.4200898229,0.3821450671,0.5543591942,0.4259933026,0.4414149986,0.4059290953,0.4787271565,0.5841261518,0.4725309312,0.4647449043,0.5431631125,0.467037487,0.4132193305,0.478223126,0.5347553711,0.49070712,0.359731747,0.4911885698,0.4226971789,0.4601820484,0.4265478281,0.3740004957,0.4699267962,0.4004380837,0.4732488678,0.3879605741,0.3627412152,0.594892726,0.4896604073,0.4495091873,0.4237160894,0.5826897361,0.5414564746,0.3886556249,0.5297214403,0.5292911191,0.6483809877,0.5418088823,0.4737512709,0.5399059349,0.4887478226,0.4367485971,0.4389103746,0.4574944734,0.3371661938,0.4227719053,0.4544829709,0.4583156505,0.356423373,0.5099174425,0.4148672451
O14791,"Apolipoprotein L1 (Apolipoprotein L, Apo-L, ApoL) (Apolipoprotein L-I, ApoL-I)",APOL1,0.3398667204,0.27193571,0.3088435856,0.4802804764,0.4410134288,0.4680296127,0.4008995042,0.592782484,0.3356406081,0.3656874847,0.376152373,0.3694743927,0.5170643956,0.4609482995,0.4058313813,0.38597517,0.4231494027,0.4274590567,0.314890731,0.4674862525,0.4477919033,0.4786108627,0.4920161888,0.4275490403,0.4538958055,0.5271620937,0.4345348094,0.4884321,0.5035294171,0.4370963937,0.4708764051,0.4927474501,0.4727550766,0.4408969315,0.4576910541,0.4257682184,0.3954653597,0.4649070376,0.5110910274,0.4322319197,0.5153222254,0.4523458761,0.4843575427,0.3911884578,0.4003387847,0.4392666475,0.4034092818,0.4120981627,0.3884336833,0.3077816158,0.4632459001,0.5017753123,0.4600903017,0.3661634419,0.4641493305,0.5004737026,0.3899173625,0.5008355358,0.5252607059,0.5156513743,0.5256281674,0.4293017889,0.5041375357,0.4615356005,0.5298551613,0.4933099326,0.4324145315,0.3916689584,0.3557121834,0.4518313351,0.5212909148,0.4156639429,0.4927956628,0.4638459493
O43866,"CD5 antigen-like (Apoptosis inhibitor expressed by macrophages, hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)",CD5L,0.5376401371,0.3977587561,0.5922547201,0.4744206896,0.400693837,0.4450649986,0.4441060997,0.5560601361,0.4305878702,0.1137887669,0.4661746747,0.4339571375,0.2929297025,0.4231344167,0.5096133155,0.4797095176,0.4358423186,0.611820095,0.4573160657,0.5106024575,0.4177343127,0.4709741191,0.5187237701,0.4871867046,0.5055565921,0.4790524403,0.4783542702,0.476460884,0.4417059028,0.4169785043,0.497142002,0.5103759048,0.4830695627,0.4485969416,0.4492363205,0.4182456667,0.4928389933,0.3336394043,0.4315001837,0.5777206992,0.4503130051,0.5025989306,0.4154191493,0.474709356,0.5162106698,0.4216542636,0.3837954907,0.4545286747,0.3595493385,0.4405013289,0.4594823865,0.4213821428,0.4021839581,0.4877388123,0.4477208386,0.3947565435,0.3183167551,0.4463841033,0.4615071204,0.4952354607,0.3158709222,0.5198283923,0.4380142676,0.4538642061,0.5408531027,0.4797059915,0.3773116499,0.417798054,0.4380293893,0.4465541026,0.5567248759,0.4109780121,0.4614517197,0.4729039192
O75636,Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen),FCN3,0.4504291385,0.4992245776,0.420833629,0.4454098116,0.3448455897,0.4176961358,0.3887285883,0.5862848779,0.4147845892,0.3636054092,0.3723928009,0.3789727874,0.3441685763,0.4223219871,0.4145518616,0.4141748347,0.4506344915,0.4440564629,0.3171441196,0.4735759825,0.4681657748,0.4638746329,0.4663398435,0.4620940823,0.3555230618,0.5532235151,0.2427194021,0.5096274877,0.4789745268,0.4858039265,0.4745283038,0.5604554339,0.5792188219,0.4740563134,0.4407794849,0.3915585639,0.4188706699,0.3188485198,0.3113703157,0.3511706198,0.5472626916,0.4345038204,0.4282064948,0.4055764163,0.4520886056,0.541492685,0.2385773741,0.4493290166,0.4168596337,0.3700698563,0.5410514464,0.3570222694,0.5130484938,0.4005142087,0.6570306067,0.6040826538,0.4102312224,0.5836826755,0.5784038155,0.6030862561,0.5482849927,0.4489967484,0.6398235222,0.4758928411,0.5234740524,0.4807165614,0.5024899602,0.3817509564,0.3449957207,0.4825374589,0.5743151537,0.3197048224,0.4767879309,0.4991724318
O75882,Attractin (DPPT-L) (Mahogany homolog),ATRN,0.4534924726,0.4421413098,0.434210136,0.4607321217,0.4758093672,0.4749224145,0.4177833392,0.5547831413,0.4033189591,0.4393909588,0.466205935,0.4595921706,0.5588754648,0.4408802503,0.4343827798,0.4290131903,0.4232260956,0.4753264255,0.415016698,0.5348315894,0.4539832124,0.4421538546,0.4677776992,0.4619787377,0.4278318751,0.5082144664,0.4246408122,0.4454549729,0.4635196484,0.4504256372,0.4733627884,0.45177112,0.4457156339,0.4905585486,0.4520886056,0.3899833415,0.4275856576,0.481440567,0.5005450385,0.4320151316,0.4836485908,0.4233638852,0.4439765829,0.447118077,0.4264524875,0.4264695078,0.4005296694,0.4622730324,0.43751634,0.3476158249,0.5014347713,0.4948258215,0.4489097484,0.3908029589,0.5107512323,0.4720718925,0.4108594127,0.5083479839,0.4862513357,0.5466152433,0.4874902892,0.4596260756,0.4833919306,0.4472865166,0.4840173407,0.4608455676,0.4067573924,0.3715030595,0.4066120081,0.462823038,0.4553698557,0.4386148594,0.4936131104,0.438035899
O95445,"Apolipoprotein M, Apo-M, ApoM (Protein G3a)",APOM,0.4322964068,0.4216152051,0.4729137516,0.4622664549,0.4459130962,0.4795519275,0.4587424456,0.537992477,0.4312335555,0.4408264093,0.4582989015,0.4766051834,0.3972788659,0.4772142513,0.4525611045,0.4419873137,0.4574010993,0.457439005,0.4033150939,0.3895436625,0.4703099896,0.4782585906,0.421481891,0.4723053618,0.4352828875,0.4535457033,0.449246153,0.4793637553,0.4612090961,0.4688517391,0.4798793812,0.4146544579,0.4544939561,0.4392070427,0.4747941861,0.3268894778,0.419256101,0.3869184048,0.4516161067,0.4566733641,0.4118513349,0.4955904451,0.470223193,0.4668755571,0.4278948705,0.4555090693,0.3764296474,0.4721809307,0.3847967029,0.3317375419,0.4560248987,0.4848707275,0.4664567636,0.4225492178,0.4446177927,0.4369270048,0.3800427588,0.4687313089,0.4951388316,0.4354300349,0.3889238128,0.4713582618,0.4382961531,0.3867518638,0.5038248646,0.4850582217,0.4307299996,0.3039353064,0.4109721126,0.4534355802,0.4310651158,0.4238806639,0.4306840246,0.4587055571
P00338,"L-lactate dehydrogenase A chain, LDH-A, EC 1.1.1.27 (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit, LDH-M) (Renal carcinoma antigen NY-REN-59)",LDHA,0.41421633,0.448724458,0.4187953141,0.45036332,0.4587482031,0.4356807776,0.3481558963,0.6032721568,0.3977195959,0.2766819916,0.3723345183,0.4010268977,0.5188455227,0.3692939847,0.4427614879,0.438496528,0.3940281091,0.3964985358,0.3449783529,0.4607476841,0.3890280026,0.4147597157,0.5654511539,0.3820069046,0.3731182559,0.5044430529,0.4059412798,0.3483090787,0.4058247698,0.4271146166,0.4096400901,0.4779641264,0.4657275705,0.4917559686,0.4082908101,0.4510324335,0.3988487653,0.602793894,0.3582698009,0.4321773666,0.5906228425,0.4087402112,0.3965135302,0.4240100112,0.628140532,0.4352192999,0.5962545849,0.4309117618,0.4744960602,0.4004127864,0.5343583106,0.5050308286,0.4619182175,0.4065349846,0.5972370816,0.5409764827,0.2955750659,0.5941361378,0.6251882952,0.5100442809,0.6691884692,0.3190350986,0.5285677576,0.503909932,0.444363526,0.4531447777,0.4182556686,0.4200474079,0.3617680424,0.3375572192,0.4715144618,0.404321358,0.3567370952,0.3863189997
