Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
A0A0B4J1X5,Immunoglobulin heavy variable 3-74,IGHV3-74,0.6675185195,0.6631206979,0.6780521257,0.6697834523,0.7124418714,0.7003509179,0.6690152327,0.6724671946,0.8357859383,0.864912741,0.5622073868,0.5423731213,0.5785743308,0.5614910359
A0A0B4J1Y9,Immunoglobulin heavy variable 3-72,IGHV3-72,0.665335921,0.6653550322,0.6417026682,0.7244210862,0.6734436528,0.7174873279,0.6611983868,0.6305711648,0.8874089961,0.8564335772,0.6463448758,0.6330028816,0.7043236172,0.62644684
A0A0C4DH29,Immunoglobulin heavy variable 1-3,IGHV1-3,0.6743691672,0.6731663765,0.6708326875,0.6518798681,0.6930822648,0.7076332418,0.7260972892,0.6679659975,0.6813073484,0.6448987445,0.5009095718,0.6245186918,0.6235252254,0.5948666081
A0A0C4DH31,Immunoglobulin heavy variable 1-18,IGHV1-18,0.6671856638,0.5858111791,0.7281608991,0.6348276543,0.679832629,0.6851999528,0.7445392623,0.6422195457,0.6790884541,0.5836690424,0.6680349547,0.6247028859,0.7046942974,0.6707637303
A0A0C4DH34,Immunoglobulin heavy variable 4-28,IGHV4-28,0.6112857425,0.6661259055,0.6606144752,0.6726727796,0.6495071771,0.642682705,0.6803948615,0.6921202413,0.8909008445,0.9663656875,0.674265269,0.5650251433,0.7133882539,0.6584567376
A0A0C4DH38,Immunoglobulin heavy variable 5-51,IGHV5-51,0.5618276195,0.6257748791,0.6732849105,0.6062604304,0.6655137745,0.6527193368,0.7082826056,0.6601241753,0.6072500367,0.6792794032,0.6892370659,0.6862858581,0.7398761062,0.6965807074
A0A0C4DH67,Immunoglobulin kappa variable 1-8,IGKV1-8,0.5994997286,0.6925284358,0.6667318444,0.6482398924,0.6755311063,0.6693993425,0.7432557736,0.6439856143,0.6982073739,0.8931668228,0.5440241942,0.5899368962,0.6031523951,0.587700461
A0AVT1,"Ubiquitin-like modifier-activating enzyme 6, Ubiquitin-activating enzyme 6, EC 6.2.1.45 (Monocyte protein 4, MOP-4) (Ubiquitin-activating enzyme E1-like protein 2, E1-L2)",UBA6,0.7172041811,0.7206837259,0.6920933018,0.7147172986,0.6864590754,0.6415663621,0.6693993425,0.6658248258,0.4807854851,0.5358586651,0.5199215678,0.4691562835,0.5481265955,0.50723908
A6NDG6,"Glycerol-3-phosphate phosphatase, G3PP, EC 3.1.3.21 (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase, AUM, EC 3.1.3.48) (Phosphoglycolate phosphatase, PGP)",PGP,0.65247093,0.6693993425,0.6974501714,0.6585150397,0.6649180485,0.6756432874,0.6544135532,0.7194099274,0.5134069508,0.551182184,0.6799215295,0.6446763123,0.6910181322,0.7101131281
A6NI72,"Putative neutrophil cytosol factor 1B, NCF-1B (Putative SH3 and PX domain-containing protein 1B)",NCF1B,0.6965790991,0.6628961346,0.6828864886,0.645080486,0.6663334606,0.6719787041,0.7134453496,0.6745903128,0.6668199809,0.6769619584,0.543406605,0.6137629197,0.5580159543,0.6226477198
A6NMZ7,Collagen alpha-6(VI) chain,COL6A6,0.6863366813,0.7129903527,0.6785866948,0.6891678272,0.6918828516,0.6303993146,0.6077622098,0.6602119902,0.5318847897,0.3280524575,0.5313949824,0.5784781224,0.5894261705,0.2662988816
