Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
A0A0B4J1X5,Immunoglobulin heavy variable 3-74,IGHV3-74,76229000,70912000,90642000,79121000,159540000,130780000,78128000,82690000,1212099968,1956600064,13496000,9740700,17663000,13338000
A0A0B4J1Y9,Immunoglobulin heavy variable 3-72,IGHV3-72,0,3969700,2690800,10483000,4534300,9353600,0,2240800,152830000,91843000,2904200,2332200,7533400,2093900
A0A0C4DH29,Immunoglobulin heavy variable 1-3,IGHV1-3,0,14559000,14011000,10260000,20199000,25658000,34758000,13366000,16644000,9147500,857490,6543200,6437200,0
A0A0C4DH31,Immunoglobulin heavy variable 1-18,IGHV1-18,0,18668000,193850000,41790000,87580000,0,253750000,47190000,86515000,18022000,72139000,35382000,131800000,75449000
A0A0C4DH34,Immunoglobulin heavy variable 4-28,IGHV4-28,2054300,5060800,4622400,5635900,3850900,3442200,6398800,7759200,203750000,704550016,5785400,960210,11007000,4461300
A0A0C4DH38,Immunoglobulin heavy variable 5-51,IGHV5-51,9984600,28570000,62392000,20729000,54909000,44493000,110920000,50253000,21069000,68854000,81101000,77260000,186460000,91508000
A0A0C4DH67,Immunoglobulin kappa variable 1-8,IGKV1-8,1248900,5764300,3771900,2783100,4359000,3941000,13272000,2595100,6328400,156060000,501690,0,0,0
A0AVT1,"Ubiquitin-like modifier-activating enzyme 6, Ubiquitin-activating enzyme 6, EC 6.2.1.45 (Monocyte protein 4, MOP-4) (Ubiquitin-activating enzyme E1-like protein 2, E1-L2)",UBA6,110580000,117090000,73179000,106150000,66705000,31888000,50391000,47515000,2268100,0,0,1873400,0,3503800
A6NDG6,"Glycerol-3-phosphate phosphatase, G3PP, EC 3.1.3.21 (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase, AUM, EC 3.1.3.48) (Phosphoglycolate phosphatase, PGP)",PGP,9657100,12756000,20230000,10666000,11850000,14135000,9970500,29026000,981610,0,15165000,8495600,18200000,24912000
A6NI72,"Putative neutrophil cytosol factor 1B, NCF-1B (Putative SH3 and PX domain-containing protein 1B)",NCF1B,33576000,19299000,26808000,14399000,20421000,22407000,44305000,23390000,20585000,24320000,0,0,3441100,9957800
A6NMZ7,Collagen alpha-6(VI) chain,COL6A6,457750016,709470016,402990016,479560000,501449984,182490000,125780000,297920000,0,1266200,0,0,0,458760
A8TX70,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4),COL6A5,27438000,29445000,6886100,157820000,7329300,144210000,3683600,52036000,3122900,0,575880,0,0,0
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,2133600000,3773900032,6248999936,2977999872,8661099520,2862099968,3356900096,4392900096,7780499968,371209984,2006499968,1593200000,3872000000,2938099968
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal, Alkyl-DHAP synthase, EC 2.5.1.26 (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",AGPS,2466899968,1106700032,2289600000,882240000,1201699968,1517200000,600449984,1575200000,556449984,866320000,0,0,76090998784,1074200064
O00151,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),PDLIM1,55929000,116800000,81871000,287550016,275020000,259650000,153780000,262540000,4636500,12120000,255950,379020,0,630530
O00154,"Cytosolic acyl coenzyme A thioester hydrolase, EC 3.1.2.2 (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase, BACH, hBACH) (CTE-IIa, CTE-II) (Long chain acyl-CoA thioester hydrolase)",ACOT7,8236900,9456600,14139000,16751000,8956400,5737700,0,10668000,4521700,0,20269000,21875000,10619000,22261000
O00159,"Unconventional myosin-Ic (Myosin I beta, MMI-beta, MMIb)",MYO1C,250750000,612520000,166110000,503880000,276030016,301550016,117100000,271710016,4495700,1874900,367800,211790,143350,184160
O00160,Unconventional myosin-If (Myosin-Ie),MYO1F,66292000,21346000,140470000,15725000,25009000,16806000,24341000,13596000,68552000,40522000,0,3260100,0,8819900
O00161,"Synaptosomal-associated protein 23, SNAP-23 (Vesicle-membrane fusion protein SNAP-23)",SNAP23,55737000,27296000,26454000,37184000,32086000,29529000,39039000,22794000,24365000,69447000,2416300,0,7537700,0
O00178,"GTP-binding protein 1, G-protein 1, GP-1, GP1",GTPBP1,25217000,26159000,18852000,21700000,0,18065000,6935600,29690000,0,0,12415000,0,1369800,1772700
O00187,"Mannan-binding lectin serine protease 2, EC 3.4.21.104 (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2, MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain ]",MASP2,15096000,11327000,7954400,14282000,23558000,11185000,1533400,0,10087000,4395900,0,0,0,1446600
O00231,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,57795000,55918000,93239000,67609000,53148000,37050000,53164000,87335000,15309000,25999000,70298000,53848000,70904000,66240000
O00232,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,83660000,89959000,96357000,73578000,54857000,78043000,131840000,107670000,322790,7829500,27978000,31619000,41294000,20880000
O00233,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),PSMD9,37217000,24731000,35725000,24488000,30502000,29928000,32914000,28198000,3885000,0,35962000,62292000,43330000,66346000
O00264,"Membrane-associated progesterone receptor component 1, mPR (Dap1) (IZA)",PGRMC1,105450000,157650000,137010000,166280000,87928000,49001000,0,328680000,32406000,20519000,19141000,0,0,0
O00299,"Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27, NCC27) (Regulatory nuclear chloride ion channel protein, hRNCC)",CLIC1,603150016,745270016,858409984,912360000,586150016,531169984,344360000,871009984,66849000,115140000,72085000,74486000,76952000,111180000
O00303,"Eukaryotic translation initiation factor 3 subunit F, eIF3f (Deubiquitinating enzyme eIF3f, EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)",EIF3F,119360000,44714000,105140000,57233000,48885000,42542000,34008000,62301000,23031000,0,20735000,1678400,9108700,0
O00401,"Neural Wiskott-Aldrich syndrome protein, N-WASP",WASL,24112000,88503000,64192000,7449300,22219000,24811000,1001300,39895000,2474600,21240000,0,0,0,0
O00410,"Importin-5, Imp5 (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5, RanBP5)",IPO5,84170000,82914000,82269000,98350000,69391000,77152000,55052000,75313000,3745000,9002900,26277000,21401000,28026000,30811000
O00429,"Dynamin-1-like protein, EC 3.6.5.5 (Dnm1p/Vps1p-like protein, DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less, Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV, HdynIV) (Dynamin-related protein 1)",DNM1L,27996000,48406000,77399000,68547000,31559000,20860000,24413000,31892000,6991800,1490100,1470600,0,1353700,322980
O00442,"RNA 3'-terminal phosphate cyclase, RNA cyclase, RNA-3'-phosphate cyclase, EC 6.5.1.4 (RNA terminal phosphate cyclase domain-containing protein 1, RTC domain-containing protein 1)",RTCA,15751000,20453000,24443000,27910000,30543000,18835000,0,22732000,2395300,0,20502000,12936000,22213000,15828000
O00468,"Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment, C90; Agrin C-terminal 22 kDa fragment, C22 ]",AGRN,266340000,522720000,119620000,226880000,148490000,110660000,65765000,350480000,22669000,14657000,0,0,0,191100
O00483,"Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ, CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit)",NDUFA4,115940000,121980000,311310016,129990000,94075000,250080000,120690000,206860000,0,1389300,0,0,0,14645000
O00487,"26S proteasome non-ATPase regulatory subunit 14, EC 3.4.19.- (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)",PSMD14,21239000,22548000,33287000,36234000,33353000,15859000,36069000,12390000,0,2781800,9229400,17837000,14884000,20464000
O00505,"Importin subunit alpha-4 (Importin alpha Q2, Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)",KPNA3,11241000,29870000,14857000,25614000,22404000,8895600,6501900,27598000,10891000,17385000,2241900,0,2352100,0
O00534,"von Willebrand factor A domain-containing protein 5A (Breast cancer suppressor candidate 1, BCSC-1) (Loss of heterozygosity 11 chromosomal region 2 gene A protein)",VWA5A,26250000,58545000,135040000,124110000,11342000,59186000,4136900,31175000,0,1371800,1241200,0,0,0
O00560,"Syntenin-1 (Melanoma differentiation-associated protein 9, MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18, TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)",SDCBP,40295000,25335000,49302000,43110000,16729000,15143000,12559000,46293000,6740500,6055900,3745100,3985000,3677700,2757300
O00567,Nucleolar protein 56 (Nucleolar protein 5A),NOP56,35803000,42519000,85427000,55600000,65008000,33904000,54956000,66120000,12837000,37492000,0,0,0,0
O00629,"Importin subunit alpha-3 (Importin alpha Q1, Qip1) (Karyopherin subunit alpha-4)",KPNA4,51533000,33734000,44185000,35474000,52080000,38777000,13319000,32885000,5835100,0,16918000,18797000,18187000,22153000
O00743,"Serine/threonine-protein phosphatase 6 catalytic subunit, PP6C, EC 3.1.3.16 [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed ]",PPP6C,15170000,29549000,22414000,18663000,24111000,18659000,13362000,20614000,0,0,13196000,8412500,11966000,10185000
