Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
A0A075B6I0,Immunoglobulin lambda variable 8-61,IGLV8-61,0.4534432008,0.4597589264,0.3271072416,0.4352034492,0.4237541009,0.4138077804,0.7515197356,0.7167880675,0.4663723371,0.5946701855,0.4098166908,0.3853971779,0.3714526633,0.3709969293,0.3415443,0.3749055497,0.3415443,0.3749055497,0.3487651894,0.3851421661
A0A075B6K0,Immunoglobulin lambda variable 3-16,IGLV3-16,0.4613310628,0.4472303014,0.4716698177,0.4658526966,0.4337340076,0.4452785647,0.54965571,0.5559938056,0.4417728382,0.4430403342,0.3583623258,0.3858993739,0.3128525294,0.3030548839,0.3727088781,0.3463800147,0.3727088781,0.3463800147,0.4423894496,0.3806607941
A0A075B6P5,Immunoglobulin kappa variable 2-28,IGKV2-28,0.5359801548,0.5829764268,0.5950157916,0.5784940143,0.5676915663,0.5441444831,0.6149405782,0.6136909371,0.2686848298,0.4067204113,0.4098166908,0.3930149807,0.271015003,0.227885353,0.4017912,0.3304961926,0.4017912,0.3304961926,0.3624354086,0.4522079258
A0A0A0MRZ8,Immunoglobulin kappa variable 3D-11,IGKV3D-11,0.4691873645,0.4716478582,0.4424179764,0.427605451,0.4319052096,0.4185781192,0.5645449911,0.5086621889,0.4346485092,0.4072663066,0.3902485927,0.3970603575,0.2964527609,0.3121592649,0.325990076,0.313506082,0.325990076,0.313506082,0.4123670749,0.3896415309
A0A0B4J1X5,Immunoglobulin heavy variable 3-74,IGHV3-74,0.4038187113,0.3950699927,0.4932953906,0.4723420975,0.4158146702,0.4001178119,0.513784455,0.5068976789,0.4904688704,0.4570711925,0.4392362557,0.4246063844,0.377759827,0.3841510771,0.3832698226,0.3815816066,0.3832698226,0.3815816066,0.444379096,0.3804429946
A0A0B4J1Y9,Immunoglobulin heavy variable 3-72,IGHV3-72,0.4704161234,0.4574880132,0.4882873858,0.4704837465,0.422755832,0.4084401667,0.5244491941,0.5118126121,0.4543216334,0.4443514927,0.402028599,0.4097764145,0.3534809989,0.3669166411,0.3486672437,0.3508391851,0.3486672437,0.3508391851,0.409856967,0.382397906
A0A0C4DH31,Immunoglobulin heavy variable 1-18,IGHV1-18,0.3560466726,0.3935266685,0.4569738113,0.4307625443,0.2691762,0.2448486298,0.5567970217,0.4950221897,0.5255056118,0.4794709415,0.4535915302,0.4558190887,0.3398005182,0.3554958373,0.385748787,0.3952262748,0.385748787,0.3952262748,0.4301241786,0.4244071067
A0A0C4DH35,Probable non-functional immunoglobulin heavy variable 3-35,IGHV3-35,0.4239643069,0.4045950287,0.460992303,0.4742699187,0.4112729515,0.4020076705,0.4839305736,0.4779717417,0.4580680937,0.4681419778,0.3996924742,0.3940884837,0.3677095957,0.3665899673,0.3758873152,0.3687503646,0.3758873152,0.3687503646,0.4199409073,0.3909022992
A0A0C4DH43,Immunoglobulin heavy variable 2-70D,IGHV2-70D,0.6189746674,0.4964992761,0.5014581476,0.4807758149,0.6078399532,0.6004658602,0.7198542955,0.7118240845,0.6170724999,0.4947547246,0.4081630559,0.4060056858,0.3646649168,0.3639572863,0.4010321596,0.4098166908,0.4010321596,0.4098166908,0.4060390355,0.3853171385
A0A0C4DH67,Immunoglobulin kappa variable 1-8,IGKV1-8,0.4282676233,0.4170062827,0.5400644225,0.5291605912,0.5620970163,0.5411219689,0.5608237739,0.5454575399,0.4546663287,0.4482663565,0.4006643887,0.3959527351,0.3376077974,0.3312713435,0.3629184157,0.3456276442,0.3629184157,0.3456276442,0.4276622995,0.4026270989
A0A0C4DH68,Immunoglobulin kappa variable 2-24,IGKV2-24,0.3304122538,0.3452739316,0.4538858803,0.4333228307,0.4155128412,0.3884145966,0.4542599107,0.4720488762,0.501086766,0.449747804,0.3766524612,0.4244948006,0.4227735331,0.4332641352,0.3770241314,0.3535167601,0.3770241314,0.3535167601,0.4428569618,0.3968598485
A0A0C4DH73,Immunoglobulin kappa variable 1-12,IGKV1-12,0.4664003509,0.4470059794,0.4885118554,0.4784900995,0.4580752255,0.4539346222,0.5611194066,0.5493618216,0.4233658247,0.4325871864,0.3962675568,0.3947141764,0.2985228059,0.2999348859,0.3210821206,0.2953298488,0.3210821206,0.2953298488,0.3269397745,0.3004792566
A0M8Q6,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),IGLC7,0.3290900129,0.4127196817,0.4740083539,0.4697663675,0.4978857537,0.6857228717,1,0.9945374123,0.3908506841,0.3827649586,0.4508225769,0.4256054918,0.4071753387,0.4098166908,0.4091308146,0.4049706119,0.4091308146,0.4049706119,0.4038184512,0.4027564406
A2NJV5,Immunoglobulin kappa variable 2-29,IGKV2-29,0.3332782293,0.3301089763,0.4209450941,0.4204064699,0.5906192162,0.5704667278,0.5647105598,0.5452336861,0.4738592549,0.2719074938,0.3923498839,0.2225270732,0.4300967805,0.4123271066,0.3495370054,0.3577717273,0.3495370054,0.3577717273,0.407306275,0.476562227
A6NDG6,"Glycerol-3-phosphate phosphatase, G3PP, EC 3.1.3.21 (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase, AUM, EC 3.1.3.48) (Phosphoglycolate phosphatase, PGP)",PGP,0.4632370495,0.4370403538,0.5593058982,0.4468594457,0.4098166908,0.4155667019,0.4215668875,0.4286678204,0.4299940087,0.4159894846,0.4122237223,0.4280154142,0.4024673279,0.3915367142,0.3785184058,0.3845767739,0.3785184058,0.3845767739,0.3939517497,0.3488446131
A8MYP8,Outer dense fiber protein 3B (Outer dense fiber protein 3-like protein 3),ODF3B,0.4117795035,0.4300593774,0.3986605301,0.379816994,0.3884031791,0.3601220097,0.4444988986,0.407853878,0.4283836387,0.4204323216,0.4776525589,0.4153733759,0.4121562018,0.3716936089,0.3011045901,0.2973521781,0.3011045901,0.2973521781,0.5053096661,0.4240004962
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,0.4675310616,0.4458415085,0.4864540214,0.4605491617,0.460419662,0.4295494853,0.5442006133,0.5408737442,0.4426453704,0.4185059956,0.3915235795,0.2630610346,0.3542628711,0.3448693221,0.3717282927,0.3680163108,0.3717282927,0.3680163108,0.401127386,0.3982529448
H7BZ55,Ciliary rootlet coiled-coil protein 2,CROCC2,0.3316766714,0.3734786931,0.3203957313,0.2968598331,0.4083607216,0.3734522217,0.2915768212,0.3082442087,0.5085839966,0.5203660038,0.177881959,0.4760592614,0.40565813,0.4002813283,0.5930294801,0.5945975344,0.5930294801,0.5945975344,0.4173746692,0.4139752515
O00151,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),PDLIM1,0.4430236593,0.4427794365,0.5070023458,0.494222719,0.4367818162,0.4059665383,0.4197572271,0.3513120333,0.4825507146,0.4512055347,0.4702342903,0.4136668432,0.3230158421,0.3612797112,0.3145364869,0.3166393686,0.3145364869,0.3308809462,0.4041033643,0.3604396052
O00182,"Galectin-9, Gal-9 (Ecalectin) (Tumor antigen HOM-HD-21)",LGALS9,0.3832695949,0.3779014866,0.4157673135,0.3738121907,0.3694803138,0.3588650349,0.4160920059,0.3857778782,0.3844007978,0.3603133219,0.5559005289,0.6126059926,0.4131452017,0.4125012949,0.4071320866,0.4128595226,0.4071320866,0.4128595226,0.401495362,0.4068174702
O00203,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1,0.4238122497,0.400590968,0.5095897739,0.4202353087,0.4103019041,0.412708833,0.5252641596,0.3939338435,0.3887522148,0.4093314775,0.4155742441,0.4179270951,0.3223163181,0.373367818,0.3712580194,0.3707403703,0.3690644873,0.3707403703,0.4148427043,0.392600161
O00231,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,0.4795972088,0.4562691053,0.4872728862,0.4566641716,0.4484654674,0.4289697126,0.4605930808,0.4323798022,0.3644152554,0.465172772,0.3965511836,0.4098963197,0.2692987732,0.2884157773,0.3134907924,0.2935606699,0.3134907924,0.2935606699,0.4097370618,0.387605137
O00232,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,0.455230286,0.4565791554,0.4826805221,0.4854981148,0.4439576577,0.4397788819,0.3799866673,0.4020465566,0.3616823711,0.3582035297,0.4175868249,0.4279905125,0.2607295788,0.3140988354,0.3070810205,0.311349071,0.3070810205,0.311349071,0.4273982208,0.4213689952
O00233,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),PSMD9,0.440173743,0.5031764617,0.5437230961,0.5182013994,0.4207624401,0.4073056593,0.4107564869,0.4112020397,0.4031740862,0.4186855198,0.4127947214,0.4011757688,0.392627867,0.3892433284,0.3908170265,0.3976550606,0.3908170265,0.3976550606,0.4088768946,0.4172085874
O00264,"Membrane-associated progesterone receptor component 1, mPR (Dap1) (IZA)",PGRMC1,0.5020089124,0.5076086957,0.4953384479,0.4812151851,0.4129974879,0.4066358936,0.4144298857,0.3929976901,0.469071256,0.4628859535,0.3711905407,0.3782269289,0.2872567963,0.3104350825,0.3336173707,0.3178373945,0.3336173707,0.3178373945,0.4421750363,0.435969724
O00299,"Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27, NCC27) (Regulatory nuclear chloride ion channel protein, hRNCC)",CLIC1,0.3972473214,0.3945411681,0.4915902944,0.4703232059,0.4233397606,0.4047761572,0.4249707177,0.4238278984,0.4157282173,0.4148572243,0.4332173429,0.4422425054,0.3693184906,0.3726302753,0.3778512054,0.3634604262,0.3778512054,0.3661127067,0.4206953814,0.4034451428
O00303,"Eukaryotic translation initiation factor 3 subunit F, eIF3f (Deubiquitinating enzyme eIF3f, EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)",EIF3F,0.3867230616,0.4304392568,0.4993394439,0.4781644007,0.5117615613,0.4995120418,0.4102380264,0.4034737586,0.3938311775,0.4567871039,0.3986524235,0.4098166908,0.3703564376,0.3737088578,0.385594198,0.3803591071,0.385594198,0.3803591071,0.4807312032,0.4522632351
O00391,"Sulfhydryl oxidase 1, hQSOX, EC 1.8.3.2 (Quiescin Q6)",QSOX1,0.463326786,0.4067525664,0.4745902816,0.4723501015,0.4224351613,0.4128808151,0.4666666872,0.4293755022,0.4659934326,0.4600576889,0.4211462189,0.3835888515,0.3083975662,0.3300310917,0.3866195747,0.3521725597,0.3866195747,0.3521725597,0.3543336239,0.3421392084
O00410,"Importin-5, Imp5 (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5, RanBP5)",IPO5,0.489409323,0.47277508,0.4917509889,0.4166562641,0.4093024888,0.4038058332,0.4066228102,0.4280110867,0.4145204431,0.4431646005,0.4106127751,0.4125506525,0.3028567351,0.38293966,0.3727633665,0.3842672882,0.3727633665,0.3842672882,0.4103308927,0.4057504832
O00442,"RNA 3'-terminal phosphate cyclase, RNA cyclase, RNA-3'-phosphate cyclase, EC 6.5.1.4 (RNA terminal phosphate cyclase domain-containing protein 1, RTC domain-containing protein 1)",RTCA,0.422726946,0.4097850855,0.4742731511,0.4655027807,0.5208020134,0.5054618436,0.3940903821,0.4098166908,0.4273745681,0.4284432386,0.4054874819,0.405474142,0.4467020349,0.382419096,0.3875118202,0.3492854455,0.3861816075,0.3492854455,0.4176334889,0.4018544139
O00483,"Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ, CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit)",NDUFA4,0.3102754141,0.3147005677,0.4668077824,0.4059020963,0.2675922405,0.2795424331,0.3066280795,0.2977437043,0.462851475,0.4322927337,0.4475126392,0.4334206738,0.4151475724,0.4257051819,0.4110234902,0.4102503915,0.4110234902,0.40938299,0.3906265737,0.3392988352
O00487,"26S proteasome non-ATPase regulatory subunit 14, EC 3.4.19.- (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)",PSMD14,0.414538452,0.4050949296,0.533261226,0.5234340275,0.4612337553,0.4712678249,0.4007247775,0.3608585808,0.4869877715,0.4740620214,0.4744608845,0.4487494534,0.3826099079,0.3767914527,0.3772982664,0.3932192351,0.3772982664,0.3932192351,0.4424011989,0.397554293
O00534,"von Willebrand factor A domain-containing protein 5A (Breast cancer suppressor candidate 1, BCSC-1) (Loss of heterozygosity 11 chromosomal region 2 gene A protein)",VWA5A,0.4753918558,0.4409997395,0.5229077684,0.5116653088,0.4339388264,0.4262192299,0.4527531173,0.3776479258,0.4057390929,0.3963102557,0.4546361985,0.4250677911,0.3954451005,0.3978131385,0.4054990773,0.4098166908,0.4054990773,0.4098166908,0.4087868503,0.3940650363
O00571,"ATP-dependent RNA helicase DDX3X, EC 3.6.4.13 (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform, DBX) (Helicase-like protein 2, HLP2)",DDX3X,0.49049986,0.4181741911,0.4962003083,0.4391201985,0.4713913729,0.4624892453,0.4137831056,0.4058502759,0.4714015318,0.4689955264,0.3749859482,0.3975393113,0.3377421712,0.3528042554,0.3553577308,0.3520658404,0.3561976188,0.3520658404,0.3771638413,0.3209182964
O00584,"Ribonuclease T2, EC 4.6.1.19 (Ribonuclease 6)",RNASET2,0.4320258844,0.4217264533,0.4860123681,0.4496294252,0.4066686276,0.3929391773,0.4652675879,0.4149615834,0.4605247394,0.4411838302,0.3927259152,0.4138470858,0.390887061,0.3851876388,0.4057862957,0.3955627995,0.4057862957,0.3955627995,0.3974419813,0.4004952798
