Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
A6NM11,Leucine-rich repeat-containing protein 37A2,LRRC37A2,0.577470593,0.621083932,0.592549468,0.697361973,0.601260404,0.676864868,0.576787973,0.568066085,0.546756759,0.562174079,0.564698039,0.571128955,0.573658317,0.577883218,0.609617376,0.522673303,0.567215403,0.571773906,0.588711296,0.566832355,0.702416697,0.577220906,0.550627339,0.552730229,0.545197774,0.610290869,0.579991151,0.544790964,0.519212245,0.560761801
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,0.534022868,0.593892928,0.540077003,0.702024731,0.561177654,0.646469482,0.653303565,0.577623106,0.564023963,0.722966655,0.577883218,0.601917053,0.561484821,0.567034895,0.662560049,0.548165754,0.54683417,0.550594098,0.586492263,0.670523563,0.566813439,0.521165847,0.529550481,0.35882018,0.696018223,0.657242217,0.62911789,0.560785772,0.559666987,0.541582758
O00115,Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2),DNASE2 DNASE2A DNL2,0.593549046,0.565489603,0.609935744,0.628808981,0.598075562,0.648106294,0.629890453,0.572030459,0.577883218,0.562221291,0.57620965,0.563885151,0.548679327,0.581098013,0.593581571,0.595372546,0.58576492,0.641143602,0.568407021,0.571496609,0.585531185,0.565946868,0.545152221,0.563694313,0.574265755,0.631201345,0.575124278,0.561650933,0.592598671,0.546393155
O00194,Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG),RAB27B,0.611622546,0.560872936,0.614894592,0.567015188,0.619145306,0.604034237,0.51937649,0.573063765,0.52543411,0.567824757,0.533204379,0.586976867,0.553091465,0.52334634,0.57885529,0.557371386,0.584460873,0.576911146,0.587236158,0.583589987,0.59022427,0.612398345,0.59220932,0.605808784,0.539204997,0.591220944,0.568069196,0.521492305,0.613675136,0.542992389
O00299,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),CLIC1 G6 NCC27,0.600213117,0.571603147,0.578371183,0.614577261,0.581378213,0.606379349,0.561631849,0.569679995,0.573991529,0.562082477,0.590973808,0.609730053,0.60411916,0.575615064,0.587496736,0.575605025,0.550609531,0.589112389,0.603687866,0.591313334,0.594242203,0.604747682,0.534863635,0.568103008,0.577395253,0.615521413,0.567484692,0.559180823,0.550348332,0.532652815
O00339,Matrilin-2,MATN2 UNQ193/PRO219,0.526422196,0.648295223,0.613944259,0.614312162,0.627957842,0.653408858,0.625389243,0.550359865,0.591323623,0.599566673,0.577739592,0.547453814,0.576393684,0.461534958,0.622266465,0.56529586,0.602482349,0.61300102,0.520854117,0.569262143,0.578026845,0.58437819,0.488363826,0.474185043,0.552934853,0.622515302,0.630077557,0.561339867,0.563411872,0.542192984
O00391,Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6),QSOX1 QSCN6 UNQ2520/PRO6013,0.560083902,0.605067709,0.605649517,0.612355406,0.604218977,0.65985305,0.620745817,0.577760999,0.601040857,0.587108255,0.565680192,0.565791708,0.552088361,0.602883192,0.629435677,0.558765044,0.582729348,0.615092027,0.549733501,0.571143144,0.565813779,0.578005438,0.5356971,0.532828469,0.56967286,0.589158937,0.588511082,0.567934157,0.566232544,0.553410373
O00423,Echinoderm microtubule-associated protein-like 1 (EMAP-1) (HuEMAP-1),EML1 EMAP1 EMAPL EMAPL1,0.506357879,0.643501616,0.667559264,0.671080644,0.671704104,0.609270382,0.66090822,0.587044615,0.583805623,0.510054748,0.533692054,0.509407308,0.527422603,0.628475678,0.572303108,0.487208591,0.6148792,0.604648363,0.55449898,0.507322276,0.606387812,0.546124916,0.566998801,0.470936976,0.526120589,0.635952388,0.599792443,0.659660636,0.577883218,0.537666799
O00462,Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase),MANBA MANB1,0.554830043,0.577883218,0.556801402,0.591553127,0.613855561,0.601306537,0.608803077,0.579186228,0.538144476,0.582273825,0.565353776,0.624187377,0.54374035,0.532207747,0.620756769,0.580985584,0.595922409,0.562489128,0.575688496,0.56351924,0.575086857,0.587503539,0.557697014,0.578617282,0.542279525,0.621261827,0.593015943,0.553108599,0.53722671,0.57116007
O00468,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],AGRN AGRIN,0.571557927,0.583802605,0.607776367,0.623647885,0.639244679,0.618816193,0.535537874,0.578835003,0.550775311,0.567108741,0.565979227,0.526715672,0.558417553,0.576036983,0.583448227,0.576931433,0.607849633,0.581208699,0.572737888,0.564621704,0.589509747,0.613703554,0.55349932,0.592709938,0.552207843,0.620613889,0.593059836,0.517760132,0.597080797,0.457098881
O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)",PLOD2,0.638043975,0.616614418,0.577182593,0.541692739,0.604866333,0.637712165,0.596210824,0.547822297,0.567261599,0.54511256,0.572936264,0.587364732,0.489769806,0.540410887,0.626029048,0.581018773,0.593504572,0.606937509,0.593462422,0.578583843,0.510458578,0.538859206,0.561311908,0.569546933,0.545850523,0.600708798,0.491425286,0.521592578,0.534775849,0.568893259
O00560,Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1),SDCBP MDA9 SYCL,0.604973908,0.572578538,0.591333704,0.573835415,0.60740751,0.623435764,0.539736772,0.569175643,0.562138442,0.531882451,0.593924458,0.617084668,0.591601292,0.569021977,0.578323847,0.578002907,0.584422622,0.588703289,0.575292257,0.577763529,0.597939445,0.588348911,0.555773821,0.565843525,0.52032645,0.591016,0.573816082,0.520931822,0.585391499,0.396236463
O00584,Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6),RNASET2 RNASE6PL,0.565243173,0.610129818,0.605233821,0.640871699,0.62638882,0.672771637,0.606605202,0.590432574,0.600976221,0.579875901,0.575890535,0.598440395,0.540498839,0.610361977,0.599676529,0.553409045,0.58081997,0.561505232,0.527307768,0.528072117,0.515781056,0.549028644,0.51746259,0.49620122,0.553888215,0.609125345,0.547753181,0.526735669,0.592097845,0.516011639
