Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74
A0A0B4J1V0,Immunoglobulin heavy variable 3-15,IGHV3-15,4481600,0,10241000,2335700,4231700,433460,0,0,697960,0,2335800,1443800,4582900,0,5410400,0,398120,36672000,1796600,17698000,0,579900,16667000,637470,689550,1409700,749470,586950,0,0,379420,33728000,2056000,894800,0,3273300,1499400,0,2444900,7694000,7905500,1766700,1740700,1105700,4375400,374520,1563700,213850,0,2452500,1044100,0,117730,0,4571700,0,0,1873800,12497000,16741000,908830,0,3233000,6408200,5231200,0,0,2671100,398670,5849400,54097000,586420,2515400,2113300
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,15241000,2317800,61496000,9327700,10134000,1651300,26814000,92649000,499730,0,33886000,7973700,17069000,4197700,14586000,4148300,5537000,70192000,2018700,76317000,1246100,1237200,178560000,1693600,3202900,8504200,1123400,1096100,1723000,626990,7689800,36096000,1679900,2462300,1644100,9065400,4914200,10697000,7803000,37782000,17325000,3639500,9240600,3301200,29337000,4053500,3589000,1313700,4613100,15964000,3857200,1993400,654940,601960,50489000,15982000,1138800,15723000,17452000,36521000,14096000,8157600,34750000,43222000,21159000,943900,15040000,13966000,2564900,27189000,86116000,987230,29643000,8344500
O00187,"Mannan-binding lectin serine protease 2, EC 3.4.21.104 (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2, MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain ]",MASP2,0,2983300,0,893400,861620,717610,437060,2349400,0,0,0,0,0,0,592390,597990,698850,1979500,345610,2353600,823180,1999300,3060500,0,1174400,2003500,593770,2800300,1899400,1350600,1138300,688500,4962500,1068400,2278500,577250,0,2031000,1361600,972360,1533200,879340,0,888070,0,3023200,0,1131500,0,194530,1240000,0,2187700,523620,6483700,1297100,231910,1422600,1300400,1839900,1154800,2512300,5521500,870730,3336200,2636600,681850,300790,0,846020,732980,571930,0,0
O00391,"Sulfhydryl oxidase 1, hQSOX, EC 1.8.3.2 (Quiescin Q6)",QSOX1,1512300,598820,512760,1921200,195100,101320,149950,25430000,1277300,0,56546,497070,765790,748520,2794400,0,1115300,606800,100440,505630,2174200,0,1428400,717170,342240,9829400,0,1086900,544150,2249700,17562000,0,1712900,7901800,1791200,627260,2227700,6707100,2841600,221080,2868400,754570,1567100,813400,291990,1895000,0,2021800,383330,234440,21664000,2784200,1272700,769710,17077000,7643200,388560,6080100,6029300,61467000,7695900,2041700,7415600,2735100,992380,1035100,1487100,142390,755670,1402300,1511100,207270,4132600,647740
O14791,"Apolipoprotein L1 (Apolipoprotein L, Apo-L, ApoL) (Apolipoprotein L-I, ApoL-I)",APOL1,2269500,603580,1239500,35064000,16307000,27614000,7459600,314380000,2090000,3754600,4604400,4042300,71833000,24053000,8212500,5576300,11511000,12520000,1394600,27323000,18611000,33941000,44079000,12542000,20963000,87463000,14372000,41104000,55172000,15108000,29190000,44712000,30279000,16270000,22573000,12114000,6709700,25983000,63936000,13741000,69434000,20339000,37965000,6172900,7378500,15761000,7833700,9279800,5850100,1214100,25155000,53317000,23654000,3789600,25602000,51981000,6021800,52349000,84280000,69881000,84886000,12978000,55830000,24330000,92178000,45205000,13790000,6231000,3091000,20136000,78003000,9947900,44754000,25451000
O43866,"CD5 antigen-like (Apoptosis inhibitor expressed by macrophages, hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)",CD5L,44968000,2940900,130420000,13110000,3114100,7396700,7259700,64398000,5577700,11588,11163000,5956400,380940,4823300,26037000,14534000,6179400,190990000,9392300,26544000,4341300,12258000,31098000,16815000,24057000,14349000,14155000,13642000,6927800,4277800,20417000,26427000,15518000,7924000,8023400,4384800,18774000,842480,5677800,98238000,8193600,22709000,4149700,13184000,29611000,4686100,2240000,8895500,1396200,6767000,9797500,4661300,3205900,16997000,7789800,2773700,624910,7589400,10192000,19672000,595810,31775000,6446700,8781000,47875000,14533000,1974000,4346700,6448600,7614600,65238000,3805500,10181000,12728000
O75636,Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen),FCN3,0,5120600,1110600,1793300,252430,1044700,593900,27957000,0,0,0,491030,249120,1143300,982580,0,1985600,1746600,147090,3105600,2794700,2570400,0,2482700,310850,14674000,34467,6272000,3450300,3941700,3163800,16896000,24359000,0,1638500,627590,1068900,152060,131430,285560,13064000,1449800,0,824840,2042700,11674000,31793,1935700,1027800,0,11574000,320070,6704600,747320,111050000,39554000,903200,26574000,23975000,38793000,13327000,1923200,79400000,3249100,8215800,3569500,5457200,518360,253170,3698500,22138000,154620,3306300,5115400
O75882,Attractin (DPPT-L) (Mahogany homolog),ATRN,25482000,20423000,17497000,29345000,39373000,38698000,12702000,183610000,9580700,0,32650000,28700000,198860000,19927000,17556000,15811000,14124000,39004000,12035000,124440000,25727000,20428000,33666000,30067000,15451000,74060000,14519000,21786000,30984000,24003000,37539000,24641000,21897000,52491000,24794000,7387200,15377000,43942000,63774000,16764000,45875000,14162000,21167000,22504000,15041000,15046000,9073600,30240000,18662000,3234000,64890000,57045000,23304000,7506200,77815000,36606000,11098000,74253000,48263000,156580000,49443000,28719000,45646000,22578000,46206000,29410000,10245000,5152300,10216000,30566000,26432000,19066000,55712000,18852000
O95445,"Apolipoprotein M, Apo-M, ApoM (Protein G3a)",APOM,29889000,24270000,65983000,53614000,38977000,75100000,50054000,234680000,29276000,35297000,49623000,70907000,15101000,71754000,44371000,36105000,48762000,48798000,16987000,12987000,62717000,73230000,24207000,65205000,31681000,45231000,41594000,74825000,52520000,60959000,75581000,21190000,46075000,34200000,68447000,3828200,23179000,12339000,43561000,48075000,20063000,102670000,62611000,58655000,27431000,46996000,10057000,65047000,11839000,4207700,47471000,83306000,58178000,24716000,38005000,32713000,10791000,60816000,101770000,31772000,12831000,64012000,33598000,12299000,120550000,83611000,28990000,2447000,19722000,45134000,29180000,25366000,28964000,50018000
P00338,"L-lactate dehydrogenase A chain, LDH-A, EC 1.1.1.27 (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit, LDH-M) (Renal carcinoma antigen NY-REN-59)",LDHA,0,1709900,0,0,0,0,240670,34800000,632550,0,0,0,6709800,0,0,0,0,0,0,2161600,533950,0,16647000,465640,391550,5067100,0,241390,740840,1122000,798050,3023800,2382000,3956700,777330,1788600,646630,34477000,293130,1238400,27194000,0,617850,1056100,56513000,0,30350000,0,2826100,0,9079500,5125500,2211500,0,30937000,10330000,86338,29122000,53352000,5651800,125810000,136410,8110200,5014700,0,1863800,944020,977580,313820,195740,2666500,719440,284500,506480
