Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
A6NM11,Leucine-rich repeat-containing protein 37A2,LRRC37A2,5636100,12324000,0,11617000,0,12198000,0,11010000,13584000,10576000,16142000,0,98808000,0,0,0,0,5333700,0,22523000,65762000,13349000,17160000,91162000,19715000,13495000,27038000,8069500,22766000,14048000
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,0,8955900,8435100,0,0,20289000,10653000,13834000,11638000,139610000,15868000,60536000,11597000,5603600,0,421740,10535000,0,0,53322000,41263000,46010000,7574100,100000000,10601000,6877600,0,90873000,48990000,31296000
O00115,Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2),DNASE2 DNASE2A DNL2,55487000,115060000,47611000,38253000,41992000,33597000,26368000,40887000,44199000,32718000,36107000,37929000,47434000,34719000,24927000,33495000,32422000,53088000,0,53926000,128560000,96173000,69979000,94530000,57929000,53898000,34467000,39640000,98203000,40186000
O00194,Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG),RAB27B,25166000,34358000,38750000,32315000,15129000,40335000,23507000,17123000,14634000,29727000,40502000,38216000,42477000,60478000,43842000,54450000,14208000,61721000,20013000,35439000,52932000,13737000,62932000,29346000,67342000,59735000,26610000,18841000,43157000,29843000
O00299,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),CLIC1 G6 NCC27,62760000,77831000,42142000,57106000,61167000,108100000,98855000,80174000,62770000,50595000,98178000,80609000,84460000,99850000,32791000,55689000,48309000,41967000,31656000,75853000,102480000,50233000,65588000,116780000,68807000,92890000,58883000,64576000,118550000,55143000
O00339,Matrilin-2,MATN2 UNQ193/PRO219,38076000,81427000,68862000,30012000,57645000,28654000,45441000,46426000,7288400,65736000,18755000,40560000,46639000,51606000,11176000,8916000,35750000,36950000,26350000,94381000,155020000,99196000,82660000,83146000,103340000,20495000,142890000,31269000,94756000,106890000
O00391,Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6),QSOX1 QSCN6 UNQ2520/PRO6013,533980000,1310099968,782270016,722729984,1047299968,597240000,480089984,596179968,1078499968,838800000,462409984,650400000,597449984,725550016,369740000,353220000,617980032,601449984,490310016,1646499968,2673299968,1433600000,1127100032,1254200064,1101699968,545320000,1116700032,635340032,866659968,857760000
O00423,Echinoderm microtubule-associated protein-like 1 (EMAP-1) (HuEMAP-1),EML1 EMAP1 EMAPL EMAPL1,36697000,238400000,280609984,180090000,0,52269000,69648000,76965000,348489984,52811000,107220000,50561000,245100000,93827000,130850000,28316000,572780032,155630000,81997000,142390000,256620000,584280000,649600000,687089984,693950016,49790000,442760000,68218000,392580000,220650000
O00462,Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase),MANBA MANB1,16877000,12569000,21412000,16400000,8527800,33593000,9323100,13156000,7758100,17227000,15511000,12777000,15363000,18724000,11645000,16252000,10824000,8404000,0,31806000,23330000,26290000,11480000,19972000,28494000,11125000,16063000,9108600,32063000,20443000
O00468,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],AGRN AGRIN,30881000,33059000,50541000,31832000,20356000,13874000,22992000,25936000,30444000,26407000,28885000,25381000,37734000,55482000,21259000,39708000,12029000,42572000,4575700,34260000,60191000,15968000,50482000,65008000,83348000,28347000,34454000,20826000,61940000,39930000
O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)",PLOD2,9783500,14786000,11937000,5764700,0,0,2285900,0,5122600,5521100,11929000,9411200,3178500,4997500,0,0,3795500,4682700,0,20043000,24144000,12463000,9203400,5228300,14306000,24272000,17251000,5586400,13389000,2347000
O00560,Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1),SDCBP MDA9 SYCL,83273000,98753000,92242000,72347000,64673000,155220000,103420000,107320000,72170000,39935000,79753000,82956000,114410000,98197000,58436000,68606000,33541000,93677000,4599300,83700000,171750000,45259000,102980000,77923000,133040000,127980000,76378000,33219000,102460000,77899000
O00584,Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6),RNASET2 RNASE6PL,262250000,298360000,405880000,473060000,559600000,537440000,213490000,375220000,649870016,399820000,173020000,175140000,143990000,244570000,147900000,105400000,171450000,485780000,144520000,548129984,1756700032,612110016,598880000,1056700032,838940032,316670016,647470016,264260000,637190016,239650000
