Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9
A0A075B6H7,Probable non-functional immunoglobulin kappa variable 3-7,IGKV3-7,92328,3831,186,75171,7854,1424,19553,12647,83697
A0A075B6I0,Immunoglobulin lambda variable 8-61,IGLV8-61,15362,8657,198,87883,34877,1378,832,67552,0
A0A075B6I4,Immunoglobulin lambda variable 10-54,IGLV10-54,3715,37917,5144,31581,37418,0,0,359,1878
A0A075B6I9,Immunoglobulin lambda variable 7-46,IGLV7-46,82582,7746,11295,1314,95564,31244,67753,49994,8622
A0A075B6J9,Immunoglobulin lambda variable 2-18,IGLV2-18,12573,0,26217,72196,1478,78247,0,81682,39876
A0A075B6K4,Immunoglobulin lambda variable 3-10,IGLV3-10,1446,4558,39826,1368,13337,45376,5917,34111,268
A0A075B6Q5,Immunoglobulin heavy variable 3-64,IGHV3-64,59186,29819,37648,43441,89528,48451,28697,38277,0
A0A075B6R2,Immunoglobulin heavy variable 4-4,IGHV4-4,18989,4133,4156,0,42639,11429,69466,47542,0
A0A087WSY6,Immunoglobulin kappa variable 3D-15,IGKV3D-15,1345,27235,45746,25523,3543,29214,61953,79915,11638
A0A087WW87,Immunoglobulin kappa variable 2-40,IGKV2-40,31142,5942,72651,21578,236,4528,1697,11772,1532
A0A0A0MRZ8,Immunoglobulin kappa variable 3D-11,IGKV3D-11,47547,36585,49273,1993,43449,34738,27424,2289,1282
A0A0A0MS15,Immunoglobulin heavy variable 3-49,IGHV3-49,44933,14212,7417,18159,61232,22768,1748,18732,5229
A0A0B4J1U7,Immunoglobulin heavy variable 6-1,IGHV6-1,14336,16899,1695,7424,5729,22782,94649,6354,2894
A0A0B4J1V0,Immunoglobulin heavy variable 3-15,IGHV3-15,13342,256,2262,23481,2341,3111,14954,1178,14999
A0A0B4J1X5,Immunoglobulin heavy variable 3-74,IGHV3-74,42984,56754,44743,731,6469,7342,235,24168,16955
A0A0B4J1X8,Immunoglobulin heavy variable 3-43,IGHV3-43,12818,33827,3414,3253,4244,32115,1133,91644,52613
A0A0B4J1Y9,Immunoglobulin heavy variable 3-72,IGHV3-72,1415,32386,7539,24183,41266,44958,14991,2789,1411
A0A0C4DH25,Immunoglobulin kappa variable 3D-20,IGKV3D-20,76576,17226,1782,19634,71826,96969,56632,52628,3816
A0A0C4DH29,Immunoglobulin heavy variable 1-3,IGHV1-3,34286,43848,31773,35671,29821,33314,67559,16144,58444
A0A0C4DH31,Immunoglobulin heavy variable 1-18,IGHV1-18,72666,8376,31523,24689,36649,0,137,0,47973
A0A0C4DH34,Immunoglobulin heavy variable 4-28,IGHV4-28,0,12477,2172,65915,5544,94287,11577,48479,1283
A0A0C4DH35,Probable non-functional immunoglobulin heavy variable 3-35,IGHV3-35,24133,2379,49629,0,33147,11863,1978,16813,0
A0A0C4DH36,Probable non-functional immunoglobulin heavy variable 3-38,IGHV3-38,2484,32877,51863,0,85,62731,2174,13689,0
A0A0C4DH38,Immunoglobulin heavy variable 5-51,IGHV5-51,8455,23144,14674,1768,1774,66387,83377,35394,34925
