Uniprot_Id,Protein_Name,Gene_Name
P04217,Alpha-1B-glycoprotein (Alpha-1-B glycoprotein),A1BG
P01023,"Alpha-2-macroglobulin, Alpha-2-M (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)",A2M
P49588,"Alanine--tRNA ligase, cytoplasmic, EC 6.1.1.7 (Alanyl-tRNA synthetase, AlaRS) (Renal carcinoma antigen NY-REN-42)",AARS1
Q99758,"Phospholipid-transporting ATPase ABCA3, EC 7.6.2.1 (ABC-C transporter) (ATP-binding cassette sub-family A member 3) (ATP-binding cassette transporter 3, ATP-binding cassette 3) (Xenobiotic-transporting ATPase ABCA3, EC 7.6.2.2) [Cleaved into: 150 Kda mature form ]",ABCA3
Q9NP58,"ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6, EC 7.6.2.5) (Mitochondrial ABC transporter 3, Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)",ABCB6
P28288,"ATP-binding cassette sub-family D member 3, EC 3.1.2.-, EC 7.6.2.- (70 kDa peroxisomal membrane protein, PMP70)",ABCD3
P61221,"ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor, RNS4I)",ABCE1
Q8NE71,ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein),ABCF1
Q9NUJ1,"Palmitoyl-protein thioesterase ABHD10, mitochondrial, EC 3.1.2.22 (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10, Abhydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial, EC 3.1.1.93)",ABHD10
Q8NFV4,"Protein ABHD11, EC 3.-.-.- (Alpha/beta hydrolase domain-containing protein 11, Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)",ABHD11
Q7Z5M8,"Protein ABHD12B, EC 3.-.-.- (Abhydrolase domain-containing protein 12B) (Alpha/beta hydrolase domain-containing protein 12B)",ABHD12B
Q96IU4,"Putative protein-lysine deacylase ABHD14B, EC 2.3.1.- (Alpha/beta hydrolase domain-containing protein 14B, Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)",ABHD14B
Q8IZP0,"Abl interactor 1 (Abelson interactor 1, Abi-1) (Abl-binding protein 4, AblBP4) (Eps8 SH3 domain-binding protein, Eps8-binding protein) (Nap1-binding protein, Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)",ABI1
Q9P1F3,Costars family protein ABRACL (ABRA C-terminal-like protein),ABRACL
P09110,"3-ketoacyl-CoA thiolase, peroxisomal, EC 2.3.1.16 (Acetyl-CoA C-myristoyltransferase, EC 2.3.1.155) (Acetyl-CoA acyltransferase, EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)",ACAA1
P42765,"3-ketoacyl-CoA thiolase, mitochondrial, EC 2.3.1.16 (Acetyl-CoA acetyltransferase, EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial, EC 3.1.2.-, EC 3.1.2.1, EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)",ACAA2
Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial, IBDH, EC 1.3.8.- (Activator-recruited cofactor 42 kDa component, ARC42) (Acyl-CoA dehydrogenase family member 8, ACAD-8)",ACAD8
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial, MCAD, EC 1.3.8.7 (Medium chain acyl-CoA dehydrogenase, MCADH)",ACADM
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial, VLCAD, EC 1.3.8.9",ACADVL
P24752,"Acetyl-CoA acetyltransferase, mitochondrial, EC 2.3.1.9 (Acetoacetyl-CoA thiolase) (T2)",ACAT1
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic, EC 2.3.1.9 (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)",ACAT2
Q9H3P7,"Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1, GOCAP1) (Golgi phosphoprotein 1, GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed ]",ACBD3
P12821,"Angiotensin-converting enzyme (ACE) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]",ACE DCP DCP1
P53396,"ATP-citrate synthase, EC 2.3.3.8 (ATP-citrate (pro-S-)-lyase, ACL) (Citrate cleavage enzyme)",ACLY
P21399,"Cytoplasmic aconitate hydratase, Aconitase, EC 4.2.1.3 (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1, IRP1) (Iron-responsive element-binding protein 1, IRE-BP 1)",ACO1
Q99798,"Aconitate hydratase, mitochondrial, Aconitase, EC 4.2.1.3 (Citrate hydro-lyase)",ACO2
