Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
A0A075B6I0,Immunoglobulin lambda variable 8-61,IGLV8-61,903700,980310,177470,714440,0,0,42061000,26887000,1067500,5575000,515130,376080,0,0,213750,328530,213750,328530,234590,0
A0A075B6K0,Immunoglobulin lambda variable 3-16,IGLV3-16,0,0,2580100,2393800,1582600,1836400,7046900,7646500,1755300,1784200,599290,854510,333420,293880,720960,513560,720960,513560,1769300,798740
A0A075B6P5,Immunoglobulin kappa variable 2-28,IGKV2-28,25649000,46993000,54878000,44356000,38593000,28494000,70939000,69806000,819310,0,5048200,4065600,844280,484350,4552300,1816800,4552300,1816800,2741700,8716300
A0A0A0MRZ8,Immunoglobulin kappa variable 3D-11,IGKV3D-11,21299000,21985000,15086000,12465000,13175000,0,72765000,35419000,13649000,9591500,7703100,8409700,2300600,2816600,3366000,2865900,3366000,2865900,10243000,0
A0A0B4J1X5,Immunoglobulin heavy variable 3-74,IGHV3-74,13809000,12337000,43734000,33387000,16117000,13166000,56946000,52111000,42170000,27424000,21794000,18050000,9870800,10718000,10597000,10369000,10597000,10369000,23287000,10218000
A0A0B4J1Y9,Immunoglobulin heavy variable 3-72,IGHV3-72,12618000,10682000,15885000,12629000,6828300,5678200,25312000,21509000,10255000,9018800,5228000,5776800,2797000,3325600,2628800,2703400,2628800,2703400,5782800,4059700
A0A0C4DH31,Immunoglobulin heavy variable 1-18,IGHV1-18,3450200,5591900,12664000,9034600,1126600,823470,45827000,20676000,30622000,16922000,12124000,12477000,2798600,3425800,5058700,5715700,5058700,5715700,8960600,8324300
A0A0C4DH35,Probable non-functional immunoglobulin heavy variable 3-35,IGHV3-35,0,0,2058200,2442200,0,0,2765900,2561500,1982100,2256800,934310,869230,0,0,687530,627130,687530,627130,1212800,834270
A0A0C4DH43,Immunoglobulin heavy variable 2-70D,IGHV2-70D,5427900,1120300,0,0,4702500,4276300,19911000,17954000,5296500,1095400,358970,349130,204960,203100,327460,366700,327460,366700,349280,267440
A0A0C4DH67,Immunoglobulin kappa variable 1-8,IGKV1-8,951240,822770,4016400,3490000,5334800,4071500,5248000,4305400,0,0,666560,627300,295810,272620,409860,328010,409860,328010,943850,683630
A0A0C4DH68,Immunoglobulin kappa variable 2-24,IGKV2-24,1160000,1404800,5693000,4368000,0,0,5720500,7194000,10458000,0,2104700,0,3812900,4364700,2114800,1562200,2114800,1562200,4938900,2730600
A0A0C4DH73,Immunoglobulin kappa variable 1-12,IGKV1-12,3737200,2910900,4969000,4367100,3357100,3182700,12663000,10883000,2146600,2417400,1514000,1484000,429740,437630,574690,412420,574690,412420,619740,440710
A0M8Q6,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),IGLC7,17757,0,114880,108770,156260,1757400,100780000,93931000,39350,35457,85214,61576,48561,50242,49800,47201,49800,47201,0,0
A2NJV5,Immunoglobulin kappa variable 2-29,IGKV2-29,883270,847930,2732900,2714000,24323000,18761000,17420000,13554000,5403800,400590,1890700,212030,3074900,2445700,1089100,1211000,1089100,1211000,2292500,5595300
A6NDG6,"Glycerol-3-phosphate phosphatase, G3PP, EC 3.1.3.21 (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase, AUM, EC 3.1.3.48) (Phosphoglycolate phosphatase, PGP)",PGP,2205200,1573500,7603100,1785700,1108000,1193200,1289100,1412600,0,0,1142900,0,1007900,875500,740310,800410,740310,800410,903170,505100
A8MYP8,Outer dense fiber protein 3B (Outer dense fiber protein 3-like protein 3),ODF3B,11922000,15088000,10068000,7897800,0,0,18173000,11334000,0,0,27857000,12487000,11980000,7113000,2864700,2729500,2864700,2729500,39782000,13955000
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,64968000,49129000,82905000,59379000,59280000,39827000,174460000,167140000,47147000,34545000,24401000,4662400,15098000,13377000,18908000,18025000,18908000,18025000,27615000,26611000
H7BZ55,Ciliary rootlet coiled-coil protein 2,CROCC2,559310,958410,483650,357140,0,0,333640,413560,5464100,6359800,77110,3593600,1450800,1353700,16219000,16550000,16219000,16550000,1687200,1614900
O00151,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),PDLIM1,6843500,6822000,15605000,13236000,6314700,4245500,5071000,2099500,11388000,7604300,9717000,4688300,1458100,2387200,1307200,1343100,1307200,1613600,4144800,2361500
O00182,"Galectin-9, Gal-9 (Ecalectin) (Tumor antigen HOM-HD-21)",LGALS9,0,639480,1041600,606660,0,0,0,707780,0,0,6335800,13155000,1007000,998680,931930,1003300,931930,1003300,866650,928160
O00203,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1,1647500,1221500,4974900,1573300,1384300,1427900,6088200,1121100,1048700,1367100,1481600,1527200,445570,860140,0,831510,0,831510,1467700,1102000
O00231,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,9104600,6741100,10051000,6775500,6096300,4742200,7127300,4955200,2064300,7560500,3123100,3709000,606120,775400,1071100,828540,1071100,828540,3701400,2783100
O00232,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,4820200,4904700,6865300,7119100,4168600,3950100,1828300,2429300,1444200,1380900,2967800,3393500,393330,782310,714680,755080,714680,755080,3367700,3116000
O00233,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),PSMD9,1154600,2599900,4383600,3155200,899120,756000,790370,794920,716810,875380,811400,698590,625740,599040,611310,667610,611310,667610,771460,858880
O00264,"Membrane-associated progesterone receptor component 1, mPR (Dap1) (IZA)",PGRMC1,6845000,7357100,6281300,5236300,2174300,2003200,2214800,1680400,4477900,4134900,1268800,1389200,430280,580020,781910,638060,781910,638060,3166500,2923200
O00299,"Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27, NCC27) (Regulatory nuclear chloride ion channel protein, hRNCC)",CLIC1,34321000,33145000,115730000,87993000,48035000,37817000,49055000,48338000,43548000,43062000,54554000,61281000,23949000,24993000,26732000,22208000,26732000,22980000,46426000,37174000
O00303,"Eukaryotic translation initiation factor 3 subunit F, eIF3f (Deubiquitinating enzyme eIF3f, EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)",EIF3F,673900,1183600,2875600,2189000,3374700,2882000,912370,0,738530,1662000,785860,907430,545780,569870,664170,620850,664170,620850,2262600,1567900
O00391,"Sulfhydryl oxidase 1, hQSOX, EC 1.8.3.2 (Quiescin Q6)",QSOX1,9758900,4708100,11283000,10962000,5762300,5094900,10188000,6301300,10100000,9356400,5667400,3493300,1325900,1752100,3632400,2330500,3632400,2330500,2396300,2047900
O00410,"Importin-5, Imp5 (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5, RanBP5)",IPO5,2474800,1997400,2550600,969300,881680,821400,851760,1122000,942990,1363900,896690,919360,223720,627770,550630,638600,550630,638600,893440,842240
O00442,"RNA 3'-terminal phosphate cyclase, RNA cyclase, RNA-3'-phosphate cyclase, EC 6.5.1.4 (RNA terminal phosphate cyclase domain-containing protein 1, RTC domain-containing protein 1)",RTCA,1452000,1229000,2820900,2519500,5137300,4216000,1004000,1229500,1541600,0,1162800,1162600,1977500,863830,0,563680,0,563680,0,0
O00483,"Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ, CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit)",NDUFA4,1300500,1376800,9771700,4458400,750380,875280,1240800,1106600,9286100,6263900,7620900,6355600,5022400,5754200,4762500,4715300,4762500,4662900,3661900,1890200
O00487,"26S proteasome non-ATPase regulatory subunit 14, EC 3.4.19.- (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)",PSMD14,1243900,1101400,5742300,5059400,2270200,2583500,1041100,622910,3163500,2678200,2692000,1932900,824390,764850,769860,945140,769860,945140,1781100,999430
O00534,"von Willebrand factor A domain-containing protein 5A (Breast cancer suppressor candidate 1, BCSC-1) (Loss of heterozygosity 11 chromosomal region 2 gene A protein)",VWA5A,3019900,1938900,5570100,4819000,1770300,1602700,2255900,857190,1231000,0,2311300,1579100,1078100,1111500,1227200,1297400,1227200,1297400,1280300,1059100
O00571,"ATP-dependent RNA helicase DDX3X, EC 3.6.4.13 (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform, DBX) (Helicase-like protein 2, HLP2)",DDX3X,4856400,1912600,5226500,2505100,3796600,3385200,1807400,1631800,3797100,3681200,1096400,1466100,678540,823860,0,816060,0,816060,1127600,546310
O00584,"Ribonuclease T2, EC 4.6.1.19 (Ribonuclease 6)",RNASET2,1555500,1362200,3118500,1951500,0,0,2387100,1248500,2245600,1750300,937500,1230700,915550,850730,1109300,972400,1109300,972400,996230,1036200
O00625,"Pirin, EC 1.13.11.24 (Probable quercetin 2,3-dioxygenase PIR, Probable quercetinase)",PIR,6702200,5733500,5910400,4033200,1816500,427370,1029700,660970,6154200,1906500,1121400,751720,630310,1144500,319320,1186400,311720,1186400,1496900,1432700
O00748,"Cocaine esterase, EC 3.1.1.84 (Carboxylesterase 2, CE-2, hCE-2, EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2, EC 3.1.1.56)",CES2,1216700,776470,7092600,5382800,409960,0,285420,687400,827590,647720,1529400,6345300,704690,707840,807830,623150,807830,623150,455770,273300
O00764,"Pyridoxal kinase, EC 2.7.1.35 (Pyridoxine kinase)",PDXK,6894700,5773500,8231500,6319200,4531300,3244400,3128300,3303300,3761300,3556700,3993300,3972700,931040,2297000,725080,544390,725080,544390,106940,882970
O14579,"Coatomer subunit epsilon (Epsilon-coat protein, Epsilon-COP)",COPE,3474200,3105500,5880400,2481000,1892700,1655900,512600,1001200,1357700,1591900,613260,731560,0,0,0,0,0,0,1702200,1299800
O14607,"Histone demethylase UTY, EC 1.14.11.68 (Ubiquitously-transcribed TPR protein on the Y chromosome) (Ubiquitously-transcribed Y chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase UTY)",UTY,7637400,5116300,11697000,11991000,12071000,9669100,9272200,6993600,0,0,6085200,5699800,0,0,6561800,5326200,6561800,5326200,6334700,4892200
O14645,"Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal) (hp28)",DNALI1,1750300,1505800,4065600,1965100,0,0,956580,1091800,2635100,2427200,595890,788730,477830,601980,0,0,0,0,526630,516390
O14744,"Protein arginine N-methyltransferase 5, PRMT5, EC 2.1.1.320 (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog, SKB1 homolog, SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed ]",PRMT5,5586400,2503600,5065200,5190700,2301200,1888500,495220,2896400,1139500,723520,6242600,857860,381800,1305100,2872000,1182100,2872000,1182100,2604700,1256400
O14745,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1, NHERF-1 (Ezrin-radixin-moesin-binding phosphoprotein 50, EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)",SLC9A3R1,24375000,22613000,41491000,34796000,24529000,17542000,21927000,17150000,8735600,8237900,35682000,35479000,10631000,11073000,11620000,13167000,11620000,13167000,11938000,12485000
O14773,"Tripeptidyl-peptidase 1, TPP-1, EC 3.4.14.9 (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease, LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I, TPP-I)",TPP1,13562000,9790700,21629000,14624000,4976800,4128400,3793600,2677000,5324500,7016800,9032700,7493800,4489200,5110500,6404700,3171100,6404700,3171100,4609400,3507200
O14818,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7),PSMA7,13231000,8429600,32004000,22181000,12221000,9083200,11427000,10272000,14741000,15631000,23274000,24084000,10286000,12937000,12168000,11359000,12168000,11359000,21139000,13827000
O14880,"Microsomal glutathione S-transferase 3, Microsomal GST-3 (Glutathione peroxidase MGST3, EC 1.11.1.-) (LTC4 synthase MGST3, EC 4.4.1.20) (Microsomal glutathione S-transferase III, Microsomal GST-III)",MGST3,9621100,6776100,17197000,11791000,4141900,2837200,4552500,3314100,4197700,11974000,9988500,9759200,5253400,4478500,5058400,3699200,5058400,3699200,2610700,3158800
O14949,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,1993600,1165600,3108000,1292400,650610,716950,2907700,2020500,2617700,1981700,2376400,3131800,3210500,2850200,3238100,2799300,3238100,2799300,4514000,2794100
O14975,"Very long-chain acyl-CoA synthetase, VLACS, VLCS, EC 6.2.1.- (Arachidonate--CoA ligase, EC 6.2.1.15) (Fatty acid transport protein 2, FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase, EC 6.2.1.3) (Phytanate--CoA ligase, EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase, EC 6.2.1.7) (Very long-chain-fatty-acid-CoA ligase)",SLC27A2,5975100,5414800,7381500,5184600,1004500,850820,2500200,2515100,8023100,7489000,2515500,2774500,1110700,949530,1983300,1961400,1983300,1961400,2526000,2500900
O15127,"Secretory carrier-associated membrane protein 2, Secretory carrier membrane protein 2",SCAMP2,2595400,4557200,0,6101100,2125600,1890200,6253300,5891400,1311600,726570,1421300,1277900,368290,0,960390,564820,960390,564820,988570,863460
O15143,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),ARPC1B,6984300,6959200,9047800,9042800,4212700,3369900,5177600,5444600,3169200,3753700,8672600,5260500,3025200,3087100,2656600,2804000,2671000,2804000,6217500,5281100
O15144,"Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit, p34-ARC)",ARPC2,5904400,3741900,22098000,10093000,7603100,11345000,8478500,8130200,11826000,5175600,16396000,14949000,6010300,7599700,8479400,4852000,8479400,4852000,11171000,10355000
O15145,"Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit, p21-ARC)",ARPC3,9548800,5824500,11095000,8112100,12256000,11428000,7082800,5932900,2836400,2855900,8740400,8471000,2128600,2578200,3263500,4156600,3263500,4156600,8703700,8540100
O15173,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),PGRMC2,1092700,2066400,2793100,2553200,854230,842540,1125300,868720,1320000,1149500,825250,892690,663920,444120,716030,690390,716030,690390,1069600,911920
O15195,Villin-like protein,VILL,5308700,4201200,7659700,6237100,2865800,1388500,894460,742600,0,822590,2438400,2918400,562840,547900,708890,738220,708890,738220,2214900,1012100
O15321,"Transmembrane 9 superfamily member 1 (MP70 protein family member, hMP70)",TM9SF1,0,933930,2767400,1168500,905140,830540,0,784300,818080,0,248470,994600,631640,579430,2209100,721390,2209100,721390,729380,567330
O15372,"Eukaryotic translation initiation factor 3 subunit H, eIF3h (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)",EIF3H,3250400,2874400,2523100,2550200,2797300,2741200,977830,744360,2181100,2069700,526270,336110,210320,232760,258090,0,258090,0,701320,598570
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial, BCAT(m), EC 2.6.1.42 (Placental protein 18, PP18)",BCAT2,750520,767580,1579800,1294300,691850,978740,1539600,1490500,1101600,1153400,7816500,5703300,1535400,1332900,1314800,990960,1314800,990960,3864400,1157200
O15511,"Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit, p16-ARC)",ARPC5,4168900,4112700,6400600,7282500,4998000,3005700,4338400,4002000,3018800,2702800,6075200,3980000,1313800,1386300,1406900,1352500,1406900,1352500,0,0
O15533,"Tapasin, TPN, TPSN (NGS-17) (TAP-associated protein) (TAP-binding protein)",TAPBP,1210800,830840,1209700,1242800,153920,0,1227900,801970,0,0,10755000,7867500,1369000,2340300,5068800,4950300,5068800,4950300,2091600,1937100
O43175,"D-3-phosphoglycerate dehydrogenase, 3-PGDH, EC 1.1.1.95 (2-oxoglutarate reductase, EC 1.1.1.399) (Malate dehydrogenase, EC 1.1.1.37)",PHGDH,17554000,8077100,9130700,7714100,599150,259100,776830,748520,915310,1065000,2120800,2920900,404550,371560,134070,216480,131740,216480,427100,516670
O43240,"Kallikrein-10, EC 3.4.21.- (Normal epithelial cell-specific 1) (Protease serine-like 1)",KLK10,0,541880,1388200,1361100,2296900,1210900,0,0,2668000,4032100,1536700,722720,526340,153730,1713900,2409100,1713900,2409100,743430,540490
O43242,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3,13751000,2269900,7243500,7824700,4249300,4275200,2181500,1682200,804290,3756400,1670500,5629100,332410,321410,201790,347340,174650,404060,1774600,1927300
O43252,"Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1, PAPS synthase 1, PAPSS 1 (Sulfurylase kinase 1, SK 1, SK1) [Includes: Sulfate adenylyltransferase, EC 2.7.7.4 (ATP-sulfurylase) (Sulfate adenylate transferase, SAT); Adenylyl-sulfate kinase, EC 2.7.1.25 (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase) ]",PAPSS1,1371900,1139200,5688000,3171800,0,845880,1397800,1182200,2305600,2066900,1134400,826520,0,607420,1157700,928210,1157700,928210,1347100,0
O43390,"Heterogeneous nuclear ribonucleoprotein R, hnRNP R",HNRNPR,12679000,10661000,17015000,12276000,4180200,3566400,8917600,7410600,6385400,7886000,14403000,12026000,5323600,5548400,5679800,5596800,5679800,5596800,11043000,9688300
O43396,Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein),TXNL1,15405000,14047000,19323000,14718000,10166000,9006800,7561000,6521300,11611000,8187500,13522000,13293000,5799800,5711300,8515500,7681300,9002500,7681300,11079000,10031000
O43447,"Peptidyl-prolyl cis-trans isomerase H, PPIase H, EC 5.2.1.8 (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H, CypH) (U-snRNP-associated cyclophilin SnuCyp-20, USA-CYP)",PPIH,1195900,1271300,2582700,1503500,0,0,631570,516450,1022700,816120,1931700,5478400,753830,699360,459060,506290,459060,506290,3304200,1058500
O43488,"Aflatoxin B1 aldehyde reductase member 2, EC 1.1.1.n11 (AFB1 aldehyde reductase 1, AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase, SSA reductase)",AKR7A2,10628000,10931000,11695000,10761000,5293700,4687400,2616400,2505300,7590300,4954700,6215700,4399300,2029100,2704500,2632300,2728300,2632300,2728300,3623100,4003600
O43490,Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133),PROM1,4234100,3225300,7182400,4250100,1201300,2354400,5734100,3956200,3443900,3470500,953100,718960,401920,598030,970260,1130200,970260,1130200,627040,0
O43598,"2'-deoxynucleoside 5'-phosphate N-hydrolase 1, EC 3.2.2.- (c-Myc-responsive protein RCL)",DNPH1,14186000,8258700,15941000,13963000,5568600,4068000,2092700,2060600,8178700,3593500,5697800,5477800,2808900,3256400,2367300,2754700,2367300,2754700,627120,2456600
O43633,"Charged multivesicular body protein 2a (Chromatin-modifying protein 2a, CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1, Vps2-1, hVps2-1)",CHMP2A,2167400,2697300,7704900,3389100,1032700,850180,1267900,1628600,0,0,1496800,1475000,482390,999940,803620,911050,803620,911050,1260900,1163000
O43678,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8, CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)",NDUFA2,1429800,1293300,1614600,3066300,0,547270,1395300,1467300,0,0,1155000,1818500,746200,711890,1373900,1202900,1373900,1202900,0,0
O43681,"ATPase GET3, EC 3.6.-.- (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",GET3,1442200,3885000,3867100,1161400,768670,167520,913730,881590,2691800,3031400,572770,433650,312980,638570,0,0,0,0,305760,183890
O43707,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,23634000,22962000,41760000,33783000,19870000,17800000,22576000,18038000,26766000,21271000,37536000,37899000,19971000,22864000,23077000,21803000,23113000,21803000,27057000,20892000
O43747,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),AP1G1,2642600,2415400,3351500,2272900,1792100,2614900,1666300,872070,534400,583610,2174300,1499700,690100,355960,745570,635660,745570,569400,2397200,2595100
O43760,Synaptogyrin-2 (Cellugyrin),SYNGR2,1388700,1075300,2377900,2900100,1553600,1290000,2059900,1556000,3746200,1731700,2722700,1993900,1166000,1131400,1238200,2012500,1238200,2012500,2245600,1824500
O43776,"Asparagine--tRNA ligase, cytoplasmic, EC 6.1.1.22 (Asparaginyl-tRNA synthetase, AsnRS) (Asparaginyl-tRNA synthetase 1)",NARS1,5794300,5114000,13926000,13643000,5089900,1758900,3640400,3497200,11602000,12975000,4184900,5905100,1248500,2476100,971030,778470,845850,778470,6508200,4825500
O43795,"Unconventional myosin-Ib (MYH-1c) (Myosin I alpha, MMI-alpha, MMIa)",MYO1B,980630,879760,5370300,1515200,781460,900200,3220100,2062500,454910,259440,879300,1163200,429830,262580,497700,212350,497700,212350,613160,650870
O43809,"Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit, CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit, CFIm25) (Nucleoside diphosphate-linked moiety X motif 21, Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit)",NUDT21,1342400,1670400,4990300,4911800,2923200,0,2522700,1533100,2487900,1788700,4332800,3626300,1209400,1113500,801250,1302800,801250,1302800,3380500,2439300
O43813,"Glutathione S-transferase LANCL1, EC 2.5.1.18 (40 kDa erythrocyte membrane protein, p40) (LanC-like protein 1)",LANCL1,1713100,1672800,3214100,1451800,1775100,1290500,1837800,1722400,1330400,1693900,2775600,1900800,1336200,2184100,1154000,1178000,1154000,1178000,2207900,1295800
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)",IDH3B,765700,897760,1928800,1862700,915510,831660,3620200,1120500,0,785000,1183000,11978000,1097600,1069100,644130,1228300,644130,1228300,828910,529890
O43852,Calumenin (Crocalbin) (IEF SSP 9302),CALU,1013700,1530100,2785100,2570500,4267300,1412100,951900,1071600,0,0,4321900,3784300,1392800,963290,2584100,2671900,2698200,2671900,971400,0
O43865,"S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3), IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2, AdoHcyase 2)",AHCYL1,10085000,6625100,8004400,6354200,4079700,2724200,3409800,3439400,5406200,1952100,7507100,5676500,1767900,1400900,2520000,2509900,2520000,2509900,3810400,2774300
O60218,"Aldo-keto reductase family 1 member B10, EC 1.1.1.300, EC 1.1.1.54 (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein, ARP, hARP) (Small intestine reductase, SI reductase)",AKR1B10,43499000,37356000,22950000,18397000,12255000,9596400,7318800,5311100,31249000,27556000,5199000,4054500,3990300,4124400,3492500,3296100,3492500,3296100,8143900,5311600
O60309,Leucine-rich repeat-containing protein 37A3,LRRC37A3,16065000,15422000,17557000,11569000,17844000,14804000,55838000,62006000,0,3835300,4480400,0,2342100,1825600,6708900,7027800,6708900,7027800,2362200,1669700
O60313,"Dynamin-like 120 kDa protein, mitochondrial, EC 3.6.5.5 (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1 ]",OPA1,3308200,2686700,2207300,2094500,1538100,1129200,941980,820780,1203300,1435000,2248500,2455600,1449100,1702900,2376900,1521300,2376900,1521300,1012600,758010
